company_id,num_employees,amount_in,amount_out,transactions_in,transactions_out,num_customers,num_vendors,has_intuit_payments
156606645,,171317.4,124453.3,110.1,34.3,13.7,10.7,0
155938186,1.0,21845.3,9508.0,21.1,41.4,11.8,16.3,0
156817896,,4095.7,3509.1,2.3,23.0,0.0,18.9,0
156818328,1.0,6499.0,1588.3,0.3,4.7,0.0,4.3,1
153408212,1.0,10251.5,10194.8,18.8,23.8,17.8,12.8,0
156100189,5.0,2.5,45771.8,0.1,60.8,0.0,34.1,0
156128269,,208695.4,187062.3,69.7,63.2,0.7,41.8,0
155935162,11.8,2667.5,2561.9,0.8,23.9,0.0,0.9,0
156819624,2.0,14794.2,23227.0,3.8,17.1,3.2,11.5,1
156819840,,100979.5,38803.3,12.9,15.3,7.1,12.0,0
156947858,4.2,50727.9,18767.4,1.8,50.6,0.5,24.2,1
157298791,8.0,5457.8,1304.4,0.3,1.3,0.3,1.2,0
155997875,,3266.7,2351.0,5.6,17.2,1.7,4.8,0
157653685,11.8,74426.7,48682.9,50.8,86.8,0.0,55.1,1
157653901,1.0,0.0,0.1,0.0,0.1,0.0,0.0,0
158076835,2.0,187.7,57.5,1.3,2.1,0.5,1.3,0
157786455,,0.0,29.2,0.0,0.1,0.0,0.1,0
157949681,,139.0,92.4,1.3,1.3,0.5,1.0,0
158074675,2.9,22665.8,9658.1,2.8,23.8,1.8,0.8,0
158191461,4.0,35636.2,52732.6,29.0,127.8,0.0,42.8,1
157416225,2.0,19080.8,20503.7,51.9,46.7,0.0,30.8,1
158547578,,224.5,116.8,2.4,1.5,1.9,1.3,0
158548010,,81577.2,92529.8,5.0,143.4,0.8,85.9,0
158785470,2.8,32615.6,26696.4,2.6,2.5,0.1,1.8,0
159733220,,77209.8,71910.2,1.6,8.8,0.0,7.2,0
160062985,1.8,115406.8,112434.2,6.0,49.8,0.2,21.9,0
161140122,1.0,5212.8,44.1,5.9,0.3,4.7,0.2,1
161967919,,7115.3,0.0,6.2,0.0,4.9,0.0,0
